Questions,Answers
"I don't feel well.","It sounds like you're having a rough time, and it's okay to feel that way. Try to be gentle with yourself today: drink some water, eat something nourishing if you can, and take a few slow, deep breaths. If you're feeling unwell emotionally or physically and it persists or worsens, please reach out to a doctor or a trusted person. You deserve support and care."
"I'm feeling anxious.","Anxiety is uncomfortable but common. Right now, try grounding yourself: notice 5 things you can see, 4 you can touch, 3 you can hear, 2 you can smell, and 1 you can taste. Then take slow breaths, breathing out longer than you breathe in. If anxiety keeps interfering with your daily life, a therapist can help you find strategies that work for you."
"I can't sleep at night.","Poor sleep can make everything feel heavier. Try creating a wind-down routine: dim the lights an hour before bed, avoid screens, and keep your bedroom cool and quiet. If racing thoughts keep you awake, try writing them down before bed to get them out of your head. If insomnia continues for weeks, talk to your doctor, since sleep is important for your mental health."
"I feel lonely.","Loneliness is painful, and it doesn't mean something is wrong with you. Reaching out counts, even in small ways: a message to a friend, a phone call, or joining an online community around something you enjoy. Connection is a skill that builds with practice. If the loneliness is deep and persistent, consider talking with a counselor who can support you."
"I'm stressed about my exams.","Exam stress is real and manageable. Break your study into small, specific tasks and reward yourself for finishing each one. Take regular short breaks, move your body, and protect your sleep, especially the nights before exams. Remember that your worth is not your grades, and a few minutes of calm breathing can reset you between study sessions."
"I feel overwhelmed.","Feeling overwhelmed usually means too much is on your plate. Pause and write down everything that's on your mind, then sort it: what truly must be done, what can wait, and what can be asked of others. Choose just one small next step and do it. You don't have to fix everything at once, and asking for help is a sign of strength, not weakness."
"I have no motivation to do anything.","Loss of motivation can be a sign that you're running on empty, physically or emotionally. Start absurdly small: get out of bed, wash your face, step outside for two minutes. Small wins rebuild momentum better than big demands. If low motivation or low mood lasts more than two weeks, it's worth talking to a professional, because you don't have to carry it alone."
"I keep overthinking everything.","Overthinking often gets worse when we try to force our minds to stop. Instead, give your thoughts a limit: write them down for 10 minutes, then gently redirect to a simple, absorbing task. Notice when your mind loops on 'what if' and label it as worry, not fact. If rumination is taking over your days, therapy can help you interrupt that cycle."
"I feel worthless.","Thank you for telling me that. Feeling worthless is one of the hardest feelings, and I want you to know it's a feeling, not a fact about you. When it's this heavy, please don't face it alone: reach out to a trusted friend, a counselor, or a support line. You matter, and the people who love you would be glad you reached out."
"I don't want to talk to anyone.","It's okay to need space, and it's also okay to set a low-pressure way to reconnect later, like a short text or a walk with someone you trust. Isolation can make heavy feelings heavier. If withdrawing is lasting a while and leaving you stuck, a therapist can be a safe, no-pressure person to start talking to."
"I feel like crying.","Letting yourself cry is healthy; it's your body's way of releasing tension. Find somewhere safe and quiet, and let it out. Afterward, do something gentle for yourself, like a warm drink or a short walk. If the sadness feels constant or overwhelming, please talk to a doctor or counselor, and consider a support line if you need someone right now."
"I'm angry all the time.","Anger is often a signal that a boundary has been crossed or a need isn't being met. Try to notice what triggers it, and practice pausing before reacting: take a breath, leave the room if you can, and move your body to release the energy. If anger is hurting your relationships, therapy can help you express it in ways that protect what you care about."
"I'm worried about the future.","Worrying about the future is your mind trying to protect you, but it can spiral. Bring yourself back to what you can control today: one concrete plan, one small action, one moment of calm. Practice noticing when your thoughts turn to 'worst case' and gently reframe to 'most likely case.' Persistent worry is very treatable with the right support."
"I can't focus.","Difficulty focusing often comes with stress, poor sleep, or feeling overwhelmed. Try one thing at a time, use a timer for short focus bursts with breaks, and reduce distractions like phone notifications. Check the basics too: sleep, food, and water. If focus problems are hurting your work or studies for weeks, mention it to your doctor, as it's worth understanding."
"I feel like I'm not good enough.","Feeling 'not good enough' is extremely common and often louder than the evidence. Notice how you talk to yourself, and practice talking to yourself like you would a good friend. Reflect on things you've done that took effort, even small ones. If self-criticism is constant, therapy can help you soften that inner voice and build self-compassion."
"I'm scared something bad is going to happen.","Fear is exhausting to carry. Grounding can help: plant your feet, feel the floor, and name five things you can see around you. Remind yourself that a scary feeling in your body is not the same as a true emergency. If fear or panic is frequent and intense, a therapist can teach you ways to respond to it that don't control your life."
"I keep comparing myself to others.","Comparison is a trap, because you see others' highlights and your own outtakes. Limit the triggers: unfollow accounts that make you feel small, and notice what you're grateful for in your own life instead. Practice celebrating small personal wins. Remember that everyone's path is different, and yours is not behind, it's just yours."
"I feel numb.","Feeling numb can be your mind's way of protecting you from something overwhelming. Be gentle with yourself, and try small sensory comforts: warm showers, soft music, time in nature. Slowly reconnecting with your body can help feelings return safely. If numbness lasts a long time or follows something painful, please reach out for professional support."
"I'm dreading going to work.","Dreading work can point to burnout, stress, or a mismatch that deserves attention. Protect your rest, set boundaries on overtime, and build small breaks into your day. It's also worth reflecting on what's draining you and whether changes or a conversation with your manager are possible. If work stress is taking over your wellbeing, talking to a counselor can help you sort it out."
"I feel so much pressure.","Pressure can be external or something we put on ourselves. Try lowering the bar in one area today and see what happens. Name the expectations you're carrying and ask which are truly yours. Share the load where you can, and make time for recovery, because rest is not a reward for finishing everything, it's part of how you keep going."
